"year","carrier_name","delayed","arrival","overall_delay"
2010,"American Airlines Inc.",1993052,540963,3.6842667613127
2010,"Delta Air Lines Inc.",2910046,732973,3.97019535508129
2010,"ExpressJet Airlines Inc.",1046190,385077,2.71683325672528
2010,"SkyWest Airlines Inc.",1122836,499506,2.24789291820318
2010,"Southwest Airlines Co.",2810519,1124487,2.49937882785661
2010,"United Air Lines Inc.",657918,343081,1.91767541775849
2011,"American Airlines Inc.",2133621,538179,3.96451923988115
2011,"Delta Air Lines Inc.",1870101,608131,3.07516143725612
2011,"ExpressJet Airlines Inc.",1578313,377453,4.18148219778357
2011,"SkyWest Airlines Inc.",983588,436276,2.25450861381327
2011,"Southwest Airlines Co.",2665593,1155717,2.30644093666529
2011,"United Air Lines Inc.",836099,311212,2.68658984872049
2012,"American Airlines Inc.",2140405,525220,4.0752541792011
2012,"Delta Air Lines Inc.",1811461,662973,2.73232997422218
2012,"ExpressJet Airlines Inc.",2491381,551568,4.5169063469962
2012,"SkyWest Airlines Inc.",1146650,514086,2.23046338550359
2012,"Southwest Airlines Co.",2598575,1140535,2.27838251346956
2012,"United Air Lines Inc.",813500,256564,3.17074881900812
2013,"American Airlines Inc.",1710508,493626,3.4651902452464
2013,"Delta Air Lines Inc.",2691572,754670,3.56655491804365
2013,"ExpressJet Airlines Inc.",1683327,378847,4.44328977133249
2013,"SkyWest Airlines Inc.",1045548,365702,2.85901635758076
2013,"Southwest Airlines Co.",3177218,1130704,2.80994672345724
2013,"United Air Lines Inc.",1628496,465141,3.50108031758112
2014,"American Airlines Inc.",2024364,492584,4.10968281551979
2014,"Delta Air Lines Inc.",1919506,534120,3.59377293492099
2014,"ExpressJet Airlines Inc.",2035743,402184,5.06172050603704
2014,"SkyWest Airlines Inc.",1555299,460674,3.37613800648615
2014,"Southwest Airlines Co.",4439535,1174633,3.7795081527592
2014,"United Air Lines Inc.",1683166,413591,4.06963884610642
2015,"American Airlines Inc.",2753994,725984,3.79346376779654
2015,"Delta Air Lines Inc.",2102857,657424,3.19863132468544
2015,"ExpressJet Airlines Inc.",1920208,467862,4.10421876536244
2015,"SkyWest Airlines Inc.",1679819,490685,3.4234162446376
2015,"Southwest Airlines Co.",3831371,1261855,3.03630052581319
2015,"United Air Lines Inc.",2038278,472120,4.31728797763281
2016,"American Airlines Inc.",3630189,914495,3.96961055008502
2016,"Delta Air Lines Inc.",2787309,690094,4.03902801647312
2016,"ExpressJet Airlines Inc.",1693742,330948,5.11784932980408
2016,"SkyWest Airlines Inc.",1269175,299589,4.23638718377511
2016,"Southwest Airlines Co.",3261887,1299444,2.5102174468465
2016,"United Air Lines Inc.",1638750,497018,3.29716428781251
2017,"American Airlines Inc.",732123,218369,3.35268742358119
2017,"Delta Air Lines Inc.",775106,214196,3.61867635249958
2017,"ExpressJet Airlines Inc.",397315,65679,6.04934606190715
2017,"SkyWest Airlines Inc.",786075,155199,5.06494887209325
2017,"Southwest Airlines Co.",685774,318670,2.15198794991684
2017,"United Air Lines Inc.",472138,130904,3.60674998472163
