year,carrier_name,arrival,delayed,late_in_mins
2010,American Airlines Inc.,540963,5565988,10.2890364
2010,Delta Air Lines Inc.,732973,8195204,11.18077201
2010,ExpressJet Airlines Inc.,385077,4320595,11.22008066
2010,SkyWest Airlines Inc.,499506,4995887,10.00165564
2010,Southwest Airlines Co.,1124487,10029222,8.918931033
2010,United Air Lines Inc.,343081,2660172,7.753772433
2011,American Airlines Inc.,538179,5920542,11.0010647
2011,Delta Air Lines Inc.,608131,5504927,9.052205857
2011,ExpressJet Airlines Inc.,377453,5004378,13.25828116
2011,SkyWest Airlines Inc.,436276,4317920,9.897221025
2011,Southwest Airlines Co.,1155717,10082029,8.723613999
2011,United Air Lines Inc.,311212,3324137,10.68126229
2012,American Airlines Inc.,525220,6203856,11.81191881
2012,Delta Air Lines Inc.,662973,4759818,7.179505048
2012,ExpressJet Airlines Inc.,551568,7315586,13.26325313
2012,SkyWest Airlines Inc.,514086,4738090,9.216531864
2012,Southwest Airlines Co.,1140535,8821656,7.734664872
2012,United Air Lines Inc.,256564,2425719,9.454635101
2013,American Airlines Inc.,493626,5607043,11.35888912
2013,Delta Air Lines Inc.,754670,6634527,8.791295533
2013,ExpressJet Airlines Inc.,378847,5848872,15.43861242
2013,SkyWest Airlines Inc.,365702,4051363,11.07831787
2013,Southwest Airlines Co.,1130704,11652537,10.30555919
2013,United Air Lines Inc.,465141,5507770,11.84107615
2014,American Airlines Inc.,492584,6507400,13.21074172
2014,Delta Air Lines Inc.,534120,5111846,9.570594623
2014,ExpressJet Airlines Inc.,402184,6494181,16.14728831
2014,SkyWest Airlines Inc.,460674,5620462,12.20051924
2014,Southwest Airlines Co.,1174633,15362643,13.07867479
2014,United Air Lines Inc.,413591,5505455,13.31135107
2015,American Airlines Inc.,725984,7831435,10.78733829
2015,Delta Air Lines Inc.,657424,5772109,8.779887865
2015,ExpressJet Airlines Inc.,467862,5561710,11.88750102
2015,SkyWest Airlines Inc.,490685,5300620,10.8024904
2015,Southwest Airlines Co.,1261855,12371384,9.80412488
2015,United Air Lines Inc.,472120,6249304,13.23668559
2016,American Airlines Inc.,914495,10709365,11.71068732
2016,Delta Air Lines Inc.,690094,6863108,9.945178483
2016,ExpressJet Airlines Inc.,330948,4241371,12.81582303
2016,SkyWest Airlines Inc.,299589,3865643,12.90315399
2016,Southwest Airlines Co.,1299444,11560098,8.896187908
2016,United Air Lines Inc.,497018,5543703,11.15392803
2017,American Airlines Inc.,218369,2086082,9.553013477
2017,Delta Air Lines Inc.,214196,2046761,9.555551924
2017,ExpressJet Airlines Inc.,65679,937874,14.27966321
2017,SkyWest Airlines Inc.,155199,2416945,15.57319957
2017,Southwest Airlines Co.,318670,2839128,8.909304296
2017,United Air Lines Inc.,130904,1668808,12.74833466
