"year","carrier_name","arrival","delayed","on_time_percentage"
2010,"American Airlines Inc.",540963,99108,81.6793385129852
2010,"Delta Air Lines Inc.",668957,131764,80.3030688071132
2010,"ExpressJet Airlines Inc.",385077,76419,80.154878115286
2010,"SkyWest Airlines Inc.",499506,90860,81.8100283079683
2010,"Southwest Airlines Co.",1124487,217213,80.6833693942215
2010,"United Air Lines Inc.",343081,45154,86.8386765807492
2011,"American Airlines Inc.",538179,103978,80.6796623428265
2011,"Delta Air Lines Inc.",608131,101440,83.3193834880971
2011,"ExpressJet Airlines Inc.",268619,55054,79.5048004794895
2011,"SkyWest Airlines Inc.",436276,79017,81.8883000669301
2011,"Southwest Airlines Co.",1155717,201394,82.5741076751489
2011,"United Air Lines Inc.",311212,56255,81.9238975360847
2012,"American Airlines Inc.",525220,109752,79.1036137237729
2012,"Delta Air Lines Inc.",662973,84918,87.1913335837206
2012,"ExpressJet Airlines Inc.",551568,110783,79.9148971658979
2012,"SkyWest Airlines Inc.",514086,86086,83.254552740203
2012,"Southwest Airlines Co.",1140535,180969,84.132972683872
2012,"United Air Lines Inc.",256564,45449,82.2855116072403
2013,"American Airlines Inc.",493626,97695,80.2087005141544
2013,"Delta Air Lines Inc.",754670,113157,85.0057641088158
2013,"ExpressJet Airlines Inc.",317520,80225,74.7338750314941
2013,"SkyWest Airlines Inc.",365702,68697,81.215033005015
2013,"Southwest Airlines Co.",1130704,252944,77.6295122330866
2013,"United Air Lines Inc.",465141,92940,80.0189619921701
2014,"American Airlines Inc.",492584,109463,77.7778003345622
2014,"Delta Air Lines Inc.",534120,86469,83.8109413614918
2014,"ExpressJet Airlines Inc.",402184,98090,75.6106657649235
2014,"SkyWest Airlines Inc.",407827,86598,78.7659963661062
2014,"Southwest Airlines Co.",1174633,299133,74.5339182536162
2014,"United Air Lines Inc.",413591,92244,77.6968067486962
2015,"American Airlines Inc.",725984,130279,82.0548386741306
2015,"Delta Air Lines Inc.",657424,92561,85.9206539463117
2015,"ExpressJet Airlines Inc.",467862,87601,81.2763165206835
2015,"SkyWest Airlines Inc.",442571,77035,82.5937533186765
2015,"Southwest Airlines Co.",1261855,236626,81.2477661854967
2015,"United Air Lines Inc.",472120,95934,79.6801660594764
2016,"American Airlines Inc.",842035,163471,80.5861989109716
2016,"Delta Air Lines Inc.",690094,96734,85.9824893420317
2016,"ExpressJet Airlines Inc.",330948,57808,82.5326033092812
2016,"SkyWest Airlines Inc.",249961,42160,83.1333688055337
2016,"Southwest Airlines Co.",1299444,230611,82.2531020959734
2016,"United Air Lines Inc.",497018,82368,83.4275619796466
2017,"American Airlines Inc.",218369,37158,82.9838484400258
2017,"Delta Air Lines Inc.",214196,28708,86.5973220788437
2017,"ExpressJet Airlines Inc.",65679,11800,82.0338312093668
2017,"SkyWest Airlines Inc.",155199,31679,79.5881416761706
2017,"Southwest Airlines Co.",318670,61419,80.7264568362256
2017,"United Air Lines Inc.",130904,24276,81.45511214325
